Job Offer Title,Domain Knowledge,Countries,Area of Expertise,Company,Subjects,Researcher Profile,Hours/Week
Data Analyst , Business Intelligence , Germany,Decision Trees,European Molecular Biology Laboratory,Graph Databases,Postdoctoral Fellow - Computational Analysis of Microbiome Data;"First Stage Researcher (R1) ,32
Data Scientist , AI Ethics , Portugal,Random Forests,"Biological sciences ,Engineering ,Medical sciences",Distributed Computing,"Research Fellow, Bioinformatics Specialist/Data Scientist;""First Stage Researcher (R1) ",49
Data Scientist , Financial Analytics , Denmark,Dimensionality Reduction,University of Innsbruck,Reinforcement Learning,Senior Scientist (Doctorate/PhD);"Recognised Researcher (R2)";"University of Innsbruck";"Geosciences,33
Data Scientist , Public Policy Analytics , Finland,Anomaly Detection,"University Hospital Aachen (UKA), RWTH Aachen",Quantum Computing (Emerging),Scientist (f/m/d);"First Stage Researcher (R1) ,30
Data Analyst , Energy Analytics , Italy,Model Evaluation,Marvel Fusion GmbH,DevOps Practices for Data Science,Experiment Scientist;"First Stage Researcher (R1) ,43
Data Analyst , R&D Analytics , Ireland,Data Governance,CNRS,Cybersecurity in Data Analytics,FTC Scientist;"Recognised Researcher (R2)";"CNRS";"Chemistry ,40
Data Analyst , Feature Engineering , Portugal,"ETL (Extract, Transform, Load)",CIC biomaGUNE,Communication Skills,Computational scientist for developing computational framework for analysis and diagnosis of...;"First Stage Researcher (R1) ,40
Data Analyst , Risk Analysis , Belgium,Hypothesis Testing,Jülich Research Centre,Problem-Solving Skills,Research Associate / Postdoc in the field of Ontologies for Materials Science;"Recognised Researcher (R2) ,47
Data Scientist , Time Series Analysis , Finland,Web Scraping,Engineering,Critical Thinking,"Research Associate, Computer Sciences;""Recognised Researcher (R2) ",36
Data Scientist , R&D Analytics , Greece,Cloud Computing,CNRS,Adaptability and Learning Agility,Post-Doctoral Fellowship in Geophysical Modeling M/F;"Recognised Researcher (R2)";"CNRS";"Astronomy ,47
Data Analyst , A/B Testing , Denmark,Data Ethics,Captor Therapeutics Inc.,Collaboration and Teamwork,Senior Scientist - Pharmacology & Cell Biology;"First Stage Researcher (R1) ,50
Data Analyst , Business Intelligence , Denmark,Causal Inference,Jagiellonian University,Presentation Skills,Assistant (Asystent);"Recognised Researcher (R2)";"Jagiellonian University";"Chemistry,44
Data Analyst , Network Analysis , Greece,Ensemble Learning,Jülich Research Centre (FZJ),Storytelling with Data,Research associate / Postdoc in the field Ontologies for Materialsscience;"First Stage Researcher (R1) ,50
Data Analyst , Forecasting , Germany,Recommendation Systems,Forschungszentrum Jülich,Attention to Detail,Research associate / Postdoc in the field Ontologies for Materialsscience;"Recognised Researcher (R2) ,30
Data Scientist , Image Processing , Austria,Geospatial Analysis,"Engineering ,Mathematics",Decision-Making Skills,"Research Assistant, Healthcare Artificial Intelligence and Data Analytics;""First Stage Researcher (R1) ",44
Data Scientist , Predictive Analytics , Sweden,Survival Analysis,German Aerospace Center (DLR),Business Understanding in Data Analysis,59502: Computer scientist (f/m/x) - Lead of the research group ?Data access and processing?;"First Stage Researcher (R1) ,40
Data Analyst , Data Engineering , Sweden,Data Storytelling,"Engineering ,Mathematics",Healthcare Analytics,"Postdoctoral Fellow, Healthcare Artificial Intelligence and Data Analytics;""First Stage Researcher (R1) ",43
Data Scientist , Public Policy Analytics , Poland,Feature Selection,"Engineering ,Ethics in health sciences ,Mathematics ,Neurosciences ,Sociology",Financial Analysis,"Research Assistant, Healthcare Artificial Intelligence and Data Analytics;""First Stage Researcher (R1) ",49
Data Analyst , Feature Engineering , Portugal,Data Privacy,Sano Centre for Computational Personalized Medicine,Marketing Analytics,Call for Postdocs in Computational Medicine (# of pos: 6);"Recognised Researcher (R2) ,42
Data Scientist , Predictive Analytics , Norway,Time Complexity Analysis,European Molecular Biology Laboratory,E-commerce Analytics,Microbiological standards officer and project coordinator;"First Stage Researcher (R1) ,31
Data Analyst , Feature Engineering , Portugal,Blockchain Analytics,"Mossakowski Medical Research Institute, Polish Academy of Sciences",Telecommunications Analytics,Research Scientist (?Asystent?);"First Stage Researcher (R1)";"Mossakowski Medical Research Institute,38
Data Analyst , Machine Learning , Finland,Bayesian Methods,Empa,Supply Chain Analytics,Computational Scientist/Chemist or Physicist;"Recognised Researcher (R2)";"Empa";"Chemistry,31
Data Analyst , Customer Analytics , Denmark,SVM (Support Vector Machines),RUÐER BO?KOVIC INSTITUTE,Energy Sector Analytics,Contest Point 5 - Senior Scientist;"Established Researcher (R3)";"RUÐER BO?KOVIC INSTITUTE";"Biological sciences ,40
Data Analyst , Public Policy Analytics , Italy,Graph Analytics,RUÐER BO?KOVIC INSTITUTE,Data Governance,Contest point 4 - Senior Scientist;"Established Researcher (R3)";"RUÐER BO?KOVIC INSTITUTE";"Environmental science";"40";"Croatia";"Zagreb";"mailto:mlakar@irb.hr";"https://euraxess.ec.europa.eu/jobs/701657",43
Data Analyst , Customer Analytics , France,Pattern Mining,RUÐER BO?KOVIC INSTITUTE,Statistics and Probability,Contest point 1 ? Tenured Senior Scientist;"Leading Researcher (R4)";"RUÐER BO?KOVIC INSTITUTE";"Environmental science";"40";"Croatia";"Rovinj";"mailto:nina.rovis@irb.hr";"https://euraxess.ec.europa.eu/jobs/700770",49
Data Analyst , Forecasting , Netherlands,Ethical AI,Paul Scherrer Institut Villigen,Machine Learning Algorithms,Industrial Service Scientist MX (index no. 6121-00);"Established Researcher (R3)";"Paul Scherrer Institut Villigen";"Physics,31
Data Analyst , Risk Analysis , Sweden,Clustering Algorithms,Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB),Data Visualization Techniques,Ecohydrological modeler in urban systems (m/f/d);"First Stage Researcher (R1) ,40
Data Scientist , Healthcare Analytics , Greece,Econometrics,Wageningen University & Research,"Programming Languages (Python, R, SQL)",Post-Doctoral Researcher Computational Physiology;"Recognised Researcher (R2)";"Wageningen University & Research";"Cultural studies";"38.0";"Netherlands";"Wageningen";"https://www.academictransfer.com/305696/post-doctoral-researcher-computational-physiology/apply/#apply";"https://euraxess.ec.europa.eu/jobs/700612",36
Data Scientist , Customer Analytics , Ireland,K-Nearest Neighbors,German Center for Neurodegenerative Diseases within the Helmholtz Association (DZNE),"Big Data Technologies (Hadoop, Spark)",Head of IT and Data Management for Population Health Sciences (f/m/d) 1921/2021/4;"First Stage Researcher (R1) ,49
Data Scientist , Statistical Analysis , Belgium,Markov Models,The Netherlands Cancer Institute,Data Mining and Cleaning,Software / Data Engineer;"Recognised Researcher (R2)";"The Netherlands Cancer Institute";"Physics ,45
Data Scientist , Energy Analytics , Switzerland,Data Fusion,"Research Center for Molecular Medicine (CeMM), ÖAW",Time Series Analysis,Data Scientist in Chemical Proteomics (m/f/d);"First Stage Researcher (R1) ,41
Data Scientist , Healthcare Analytics , Netherlands,Data Interpretation,European Molecular Biology Laboratory (EMBL),Natural Language Processing (NLP),Postdoctoral Fellow - Computational Analysis of Microbiome Data;"First Stage Researcher (R1) ,42
Data Scientist , Environmental Analytics , Belgium,Network Analysis,Forschungszentrum Jülich,Predictive Modeling,PhD Position - Framework for Meta Data Analysis and Interactive Exploration of large Plant FAIR...;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/660264",39
Data Scientist , Network Analysis , Italy,Data Structures,Marvel Fusion GmbH,Feature Engineering,Laser Scientist;"First Stage Researcher (R1) ,30
Data Scientist , AI Ethics , United Kingdom,Sentiment Analysis,"Engineering ,Mathematics",Deep Learning,"Research Fellow, Human Capital and Learning Technology Scientis;""First Stage Researcher (R1) ",32
Data Analyst , Spatial Analysis , Switzerland,Reinforcement Learning,Fyzikální ústav AV CR,Data Warehousing,Scientist/Engineer (IV-99);"First Stage Researcher (R1) ,33
Data Analyst , Text Mining , Spain,Logistic Regression,Sorbonne Université,Statistical Modeling,Post-doctoral position;"First Stage Researcher (R1) ,45
Data Analyst , Big Data , Poland,Association Rule Mining,Karlsruhe Institute of Technology (KIT),Exploratory Data Analysis (EDA),Research associate (f/m/d) Software Development;"First Stage Researcher (R1) ,45
Data Scientist , Web Analytics , Switzerland,Data Validation,Delft University of Technology (TU Delft),Web Scraping and Data Collection,Assistant Professor in Business Analytics (Tenure Track with Focus on Education);"Established Researcher (R3) ,49
Data Analyst , Financial Analytics , Austria,Unsupervised Learning,University of East Anglia,Bayesian Methods,A geological analogue for the future: the rapid climatic warming 56 million years ago (...;"First Stage Researcher (R1)";"University of East Anglia";"Chemistry ,40
Data Analyst , Predictive Analytics , Ireland,Supervised Learning,Aix-Marseille Université,A/B Testing and Experimentation,Postdoc in biochemical data wrangling and curation;"Recognised Researcher (R2)";"Aix-Marseille Université";"Biological sciences,46
Data Analyst , Feature Engineering , Spain,Data Storytelling,Karlsruhe Institute of Technology (KIT),"Cloud Computing Platforms (AWS, Azure, GCP)",IPE 03-21 Master Thesis or Internship Data-Intensive cloud infrastructure for future control systems;"First Stage Researcher (R1) ,45
Data Analyst , Data Visualization , Portugal,Python Programming,Delft University of Technology (TU Delft),Data Engineering,PhD Positions on Computer Vision and Deep Learning for Architectural Design (# of pos: 2);"First Stage Researcher (R1)";"Delft University of Technology (TU Delft)";"Technology";"40.0";"Netherlands";"Delft";"https://www.academictransfer.com/304120/phd-positions-on-computer-vision-and-deep-learning-for-architectural-design/apply/#apply";"https://euraxess.ec.europa.eu/jobs/680945",50
Data Scientist , Time Series Analysis , Austria,R Programming,Jülich Research Centre (FZJ),Geospatial Analysis,PhD Position - High Dimensional Multi Omics Data Integration;"First Stage Researcher (R1) ,33
Data Scientist , Environmental Analytics , Greece,SQL,Forschungszentrum Jülich,"Dashboard Development (Tableau, Power BI)",PhD Position - High Dimensional Multi Omics Data Integration;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/690016",41
Data Scientist , Natural Language Processing , Austria,NoSQL Databases,Centre For Genomic Regulation,NoSQL Databases,Genomics Data Engineer;"Recognised Researcher (R2) ,48
Data Scientist , Marketing Analytics , Denmark,Apache Spark,Centre For Genomic Regulation,Version Control (Git),Senior Genomics Data Engineer;"Recognised Researcher (R2) ,47
Data Scientist , Feature Engineering , Norway,Tableau,Francis Crick Institute,Feature Selection Techniques,Project Research Scientist (Bioinformatician);"First Stage Researcher (R1) ,47
Data Scientist , Public Policy Analytics , Finland,Matplotlib,Evotec AG,Data Ethics and Privacy,Research Scientist (f/m/d) - Bioinformatics;"First Stage Researcher (R1) ,32
Data Scientist , Data Visualization , Norway,Pandas,Evotec AG,Data Governance,Research Scientist (f/m/d) - Bioinformatics;"First Stage Researcher (R1) ,42
Data Scientist , Network Analysis , Poland,NumPy,Rudjer Boskovic Institute,Robotics Process Automation (RPA),Contest point 3 ? Senior Scientist;"Leading Researcher (R4)";"Rudjer Boskovic Institute";"Physics";"40";"Croatia";"Zagreb";"mailto:kmartin@irb.hr";"https://euraxess.ec.europa.eu/jobs/701695",47
Data Analyst , Image Processing , Belgium,Scikit-learn,Engineering,Graph Databases,"Special Scientist, for Research;""First Stage Researcher (R1) ",49
Data Analyst , Business Intelligence , Belgium,TensorFlow,University of Amsterdam (UvA),Distributed Computing,Scientist European Biodiversity Monitoring;"First Stage Researcher (R1)";"University of Amsterdam (UvA)";"Physics";"38.0";"Netherlands";"Amsterdam";"https://www.academictransfer.com/305385/scientist-european-biodiversity-monitoring/apply/#apply";"https://euraxess.ec.europa.eu/jobs/697454",45
Data Analyst , Big Data , Denmark,PyTorch,"Austrian Academy of Sciences, The Space Research Institute (IWF)",Reinforcement Learning,ACADEMY SCIENTIST (F*M);"Recognised Researcher (R2) ,40
Data Analyst , Public Policy Analytics , Netherlands,Jupyter Notebooks,Switzerland,Quantum Computing (Emerging),"Analytical chemist, environmental scientist;""First Stage Researcher (R1)"";""Empa"";""Chemistry",32
Data Scientist , Statistical Analysis , Norway,Dask,University of Southern Denmark (SDU),DevOps Practices for Data Science,PhD Position in Continual Reinforcement Learning;"First Stage Researcher (R1) ,41
Data Analyst , Big Data , Austria,Kafka,Centre For Genomic Regulation,Cybersecurity in Data Analytics,Bioinformatician for Genomics Data Analysis;"Recognised Researcher (R2) ,43
Data Analyst , Spatial Analysis , Spain,Hadoop,Sano Centre for Computational Personalized Medicine,Communication Skills,Sano PhD Student - Project title: Application of biclustering and artificial intelligence to the...;"First Stage Researcher (R1)";"Sano Centre for Computational Personalized Medicine";"Computer science";"40";"Poland";"Kraków";"https://sano.elevato.net/en/application-of-biclustering-and-artificial-intelligence-to-the-analysis-of-biological-and-medical-data,50
Data Scientist , Fraud Detection , Finland,Data Lakes,Lodz University of Technology,Problem-Solving Skills,Assistant in the group of research and teaching staff at the Institute of Mathematics at Lodz...;"First Stage Researcher (R1) ,33
Data Scientist , Public Policy Analytics , France,Data Science Ethics,"Engineering ,Geography",Critical Thinking,"Research Assistant, Department of Architecture, Geospatial Engineer/Data Scientist;""First Stage Researcher (R1) ",44
Data Scientist , Risk Analysis , Norway,Exploratory Data Analysis,"Biological sciences ,Engineering ,Mathematics ,Medical sciences",Adaptability and Learning Agility,"Research Fellow, Bioinformatician, Cancer Science Institute;""First Stage Researcher (R1) ",33
Data Analyst , Customer Analytics , France,Git Version Control,"Biological sciences ,Engineering ,Mathematics ,Medical sciences",Collaboration and Teamwork,"Research Fellow, Bioinformatician, Cancer Science Institute, Dr Jason Pitt's Lab;""First Stage Researcher (R1) ",41
Data Analyst , Financial Analytics , Sweden,Data Munging,Leibniz Institute on Aging ? Fritz Lipmann Institute (FLI),Presentation Skills,Junior Group Leader (m/f/d);"First Stage Researcher (R1) ,45
Data Analyst , Environmental Analytics , Portugal,Feature Extraction,Forschungszentrum Jülich,Storytelling with Data,Postdoc ? Transfer Learning Methods for Deep Learning in Scientific Applications;"Recognised Researcher (R2) ,42
Data Analyst , Risk Analysis , Finland,Deep Reinforcement Learning,Engineering,Attention to Detail,"Research Scientist, SCIS;""First Stage Researcher (R1) ",42
Data Analyst , Quantitative Analysis , United Kingdom,Machine Learning,"Biological sciences ,Computer science ,Neurosciences",Decision-Making Skills,"Bioinformatics Research Scientist (100%, permanent);""First Stage Researcher (R1) ",49
Data Scientist , Human Resource Analytics , United Kingdom,Statistical Analysis,Giessen University (JLU),Business Understanding in Data Analysis,3 Postdocs;"First Stage Researcher (R1) ,38
Data Scientist , Statistical Analysis , Germany,Data Mining,Human Technopole,Healthcare Analytics,Group Leaders;"First Stage Researcher (R1) ,31
Data Scientist , Fraud Detection , Ireland,Data Visualization,Wageningen University & Research,Financial Analysis,Assistant Professor in Geo-information Science with a Focus on Advanced Visualization...;"Established Researcher (R3) ,38
Data Scientist , Energy Analytics , Greece,Big Data Analytics,Chemistry,Marketing Analytics,"Research Fellow/Assistant, Centre for Advanced 2D Materials;""First Stage Researcher (R1) ",43
Data Analyst , Image Processing , Finland,Predictive Modeling,University of Tübingen,E-commerce Analytics,Senior Research Scientist (postdoc level);"Recognised Researcher (R2)";"University of Tübingen";"Neurosciences,30
Data Analyst , R&D Analytics , Germany,Natural Language Processing,German Electron Synchrotron (DESY),Telecommunications Analytics,Full-time PhD Positions ? Data Science;"First Stage Researcher (R1) ,45
Data Analyst , Natural Language Processing , Italy,Data Warehousing,Jülich Research Centre (FZJ),Supply Chain Analytics,Software Developer for National Research Data Infrastructure;"First Stage Researcher (R1) ,31
Data Scientist , Risk Analysis , Austria,Quantitative Analysis,German Electron Synchrotron (DESY),Energy Sector Analytics,Scientist/Postdoctoral fellow - Computational photon science;"First Stage Researcher (R1) ,46
Data Scientist , Spatial Analysis , Ireland,Business Intelligence,Deutsches Elektronen-Synchrotron DESY,Data Governance,Scientist/Postdoctoral fellow - Computational photon science;"Recognised Researcher (R2) ,34
Data Scientist , Network Analysis , France,Deep Learning,Trilateral Research Ireland and UK,Statistics and Probability,Research Analyst Focused on Standardisation Bodies;"First Stage Researcher (R1)";"Trilateral Research Ireland and UK";"Other";"40";"United Kingdom";"London";"mailto:careers@trilateralresearch.com";"https://euraxess.ec.europa.eu/jobs/687017",36
Data Analyst , Econometrics , Denmark,Data Engineering,NATIONAL UNIVERSITY OF SINGAPORE,Machine Learning Algorithms,Research Fellow;"First Stage Researcher (R1) ,32
Data Scientist , Sports Analytics , Netherlands,Time Series Analysis,"Economics ,Engineering ,Mathematics",Data Visualization Techniques,"Senior Research Fellow, Institute of Operations Research and Analytics;""First Stage Researcher (R1) ",30
Data Scientist , Financial Analytics , Austria,Feature Engineering,Novadiscovery,"Programming Languages (Python, R, SQL)",Computational Biology / Systems Biology Modeler (# of pos: 4);"First Stage Researcher (R1) ,35
Data Scientist , Customer Analytics , Italy,Experimental Design,SINTEF,"Big Data Technologies (Hadoop, Spark)",Scientist/Senior Scientist - within drilling and well;"First Stage Researcher (R1) ,46
Data Analyst , Healthcare Analytics , United Kingdom,Data Preprocessing,European Molecular Biology Laboratory (EMBL),Data Mining and Cleaning,Bioinformatics Software Engineer;"First Stage Researcher (R1) ,48
Data Scientist , Quantitative Analysis , Greece,Data Cleaning,German Electron Synchrotron (DESY),Time Series Analysis,Scientist Scientific Analysis Software;"First Stage Researcher (R1) ,38
Data Scientist , Financial Analytics , Denmark,Pattern Recognition,"Biological sciences ,Chemistry ,Medical sciences",Natural Language Processing (NLP),"Research Assistant, Mass Spectrometry;""First Stage Researcher (R1) ",31
Data Analyst , Text Mining , Portugal,Neural Networks,Huawei Research Germany,Predictive Modeling,(Senior) Data Scientist for Privacy Enhancing Technologies (m/f/d);"First Stage Researcher (R1) ,35
Data Analyst , Environmental Analytics , Netherlands,Information Retrieval,Université de Strasbourg,Feature Engineering,Postdoctoral Fellowship in urban biocide transport and transformation;"First Stage Researcher (R1) ,31
Data Analyst , Big Data , Portugal,A/B Testing,Technology,Deep Learning,"59924: Computer Scientist, Physicist or similar (f/m/x) - Anomaly detection for maritime focused...;""First Stage Researcher (R1) ",49
Data Scientist , Business Intelligence , Ireland,Text Mining,"Engineering ,Technology",Data Warehousing,"59924: Computer Scientist, Physicist or similar (f/m/x) - Anomaly detection for maritime focused...;""Recognised Researcher (R2) ",44
Data Analyst , Business Intelligence , Germany,Database Management,Forschungszentrum Jülich,Statistical Modeling,Scientist / Postdoc in HPC and RDM software;"Recognised Researcher (R2) ,44
Data Analyst , Information Retrieval , Germany,Regression Analysis,France,Exploratory Data Analysis (EDA),"Software engineer position (two-year contract, renewable);""First Stage Researcher (R1)"";""Aix-Marseille Université"";""Computer science",30
Data Scientist , Data Mining , Ireland,Optimization Techniques,Centre of Molecular and Macromolecular Studies Polish Academy of Sciences,Web Scraping and Data Collection,PhD level chemist (postdoctoral position);"Established Researcher (R3)";"Centre of Molecular and Macromolecular Studies Polish Academy of Sciences";"Chemistry";"40";"Poland";"Lodz";"mailto:bjezyn@cbmm.lodz.pl";"https://euraxess.ec.europa.eu/jobs/695575",41
Data Scientist , Public Policy Analytics , United Kingdom,Cluster Analysis,Flanders Institute for Biotechnology (VIB),Bayesian Methods,Mass spectroscopy Bioanalysis scientist;"First Stage Researcher (R1) ,31
Data Analyst , Forecasting , United Kingdom,Data Architecture,Research Center Borstel - Leibniz Lung Center,A/B Testing and Experimentation,Scientist (m/f/d) / PhD candidate;"First Stage Researcher (R1)";"Research Center Borstel - Leibniz Lung Center";"Biological sciences,39
Data Analyst , Public Policy Analytics , Netherlands,Decision Trees,INSERM DR Paris 5 - CRESS,"Cloud Computing Platforms (AWS, Azure, GCP)",Postdoctoral scientist in epidemiologie;"Recognised Researcher (R2) ,31
Data Analyst , Text Mining , Ireland,Random Forests,"Chemistry ,Engineering ,Technology",Data Engineering,"61069: Engineering scientist, natural scientist, chemist, physicist or similar (f/m/x) - Injector...;""First Stage Researcher (R1) ",38
Data Analyst , Natural Language Processing , United Kingdom,Dimensionality Reduction,"Engineering ,Technology",Geospatial Analysis,"61069: Engineering scientist, natural scientist, chemist, physicist or similar (f/m/x) - Injector...;""Recognised Researcher (R2) ",44
Data Analyst , Image Processing , Spain,Anomaly Detection,Helmholtz-Zentrum Berlin für Materialien und Energie,"Dashboard Development (Tableau, Power BI)",Postdoctoral Research Scientist (f/m/d) for the exploration of crystal and magnetic structures of...;"Recognised Researcher (R2) ,41
Data Analyst , Text Mining , Portugal,Model Evaluation,Forschungszentrum Jülich,NoSQL Databases,PhD position: Model informed data acquisition for emission flux estimation using 4-dimensional...;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/691844",39
Data Scientist , Econometrics , Belgium,Data Governance,Helmholtz-Zentrum Berlin for Materials and Energy (HZB),Version Control (Git),Dual computer science degree programme 2022;"First Stage Researcher (R1) ,31
Data Scientist , Supply Chain Analytics , Belgium,"ETL (Extract, Transform, Load)",Natural Resources Institute Finland (Luke),Feature Selection Techniques,Research Professor in Quantitative Genetics;"Leading Researcher (R4)";"Natural Resources Institute Finland (Luke)";"Agricultural sciences ,38
Data Analyst , Information Retrieval , Ireland,Hypothesis Testing,Hypervision Surgical,Data Ethics and Privacy,Research Scientist [surgical imaging] (# of pos: 3);"First Stage Researcher (R1) ,35
Data Analyst , Image Processing , Norway,Web Scraping,Engineering,Data Governance,"60996: Software Engineer, Computer Scientist, Aerospace and Space Engineer, Physicist or similar (f...;""First Stage Researcher (R1) ",50
Data Analyst , Predictive Analytics , Portugal,Cloud Computing,"Engineering ,Technology",Robotics Process Automation (RPA),"60996: Software Engineer, Computer Scientist, Aerospace and Space Engineer, Physicist or similar (f...;""Recognised Researcher (R2) ",41
Data Analyst , Web Analytics , Poland,Data Ethics,University of Luxembourg,Graph Databases,Software Developer;"First Stage Researcher (R1)";"University of Luxembourg";"Biological sciences ,43
Data Analyst , Environmental Analytics , Finland,Causal Inference,University of Luxembourg,Distributed Computing,Software Developer;"Established Researcher (R3)";"University of Luxembourg";"Computer science,46
